city,lat,lng,country
Algiers,36.7539,3.0589,Algeria
Oran,35.6969,-0.6331,Algeria
Constantine,36.365,6.6147,Algeria
Blida,36.4722,2.8333,Algeria
Batna,35.55,6.1667,Algeria
S�tif,36.19,5.41,Algeria
Djelfa,34.6667,3.25,Algeria
Annaba,36.9,7.7667,Algeria
Sidi Bel Abb�s,35.2,-0.6333,Algeria
Biskra,34.85,5.7333,Algeria
T�bessa,35.4,8.1167,Algeria
Tiaret,35.3667,1.3167,Algeria
Beja�a,36.7511,5.0642,Algeria
Tlemcen,34.8828,-1.3167,Algeria
Bordj Bou Arreridj,36.0667,4.7667,Algeria
B�char,31.6333,-2.2,Algeria
Skikda,36.8667,6.9,Algeria
Souk Ahras,36.2864,7.9511,Algeria
Chlef,36.1647,1.3317,Algeria
M?Sila,35.7058,4.5419,Algeria
Mostaganem,35.9333,0.0833,Algeria
M�d�a,36.2675,2.75,Algeria
Tizi Ouzou,36.7169,4.0497,Algeria
El Oued,33.3683,6.8675,Algeria
Laghouat,33.8,2.865,Algeria
Ouargla,31.95,5.3167,Algeria
Jijel,36.8206,5.7667,Algeria
Relizane,35.7372,0.5558,Algeria
Sa�da,34.8303,0.1517,Algeria
Guelma,36.4619,7.4258,Algeria
Gharda�a,32.4833,3.6667,Algeria
Mascara,35.4,0.1333,Algeria
Khenchela,35.4167,7.1333,Algeria
Oum el Bouaghi,35.8706,7.115,Algeria
El Bayadh,33.6831,1.0192,Algeria
Tamanrasset,22.785,5.5228,Algeria
A�n Temouchent,35.3044,-1.14,Algeria
Tissemsilt,35.6072,1.8106,Algeria
Bouira,36.38,3.9014,Algeria
Adrar,27.8742,-0.2939,Algeria
Tindouf,27.6753,-8.1286,Algeria
Boumerdes,36.7603,3.4724,Algeria
El Golea,30.6,2.9,Algeria
Touggourt,33.1,6.0667,Algeria
Timimoun,29.25,0.2333,Algeria
I-n-Salah,27.1936,2.4606,Algeria
El Tarf,36.7669,8.3136,Algeria
Tipasa,36.5942,2.443,Algeria
Illizi,26.508,8.4829,Algeria
Bordj Mokhtar,21.3289,0.9542,Algeria
Naama,33.2678,-0.3111,Algeria
Djanet,24.555,9.4853,Algeria
Beni Abb�s,30.08,-2.1,Algeria
In Guezzam,19.5686,5.7722,Algeria
A�n Defla,36.2583,1.9583,Algeria
Mila,36.4481,6.2622,Algeria
Ouled Djellal,34.4167,5.0667,Algeria
El Megha�er,33.9506,5.9242,Algeria
